Date,Close,High,Low,Open,Volume
22/11/21,4338.689941,4371.600098,4336.169922,4361.950195,35014300
23/11/21,4283.819824,4328.47998,4267.22998,4320.410156,31499500
24/11/21,4276.25,4305.490234,4240.779785,4284.600098,32984600
25/11/21,4293.240234,4304.859863,4278.799805,4286.629883,20877800
26/11/21,4089.580078,4213.930176,4086.659912,4213.930176,66887000
29/11/21,4109.509766,4154.149902,4097.97998,4117.790039,42566100
30/11/21,4063.060059,4110.959961,4027.429932,4089.51001,67918500
1/12/21,4179.149902,4187.859863,4080.850098,4080.850098,37478200
2/12/21,4108.02002,4157.700195,4086.820068,4157.700195,36900400
3/12/21,4080.149902,4150.419922,4059.02002,4118.97998,33308500
6/12/21,4137.109863,4146.160156,4078.639893,4095.389893,30033400
7/12/21,4276.200195,4277.029785,4157.720215,4157.720215,34420800
8/12/21,4233.089844,4288.200195,4233.089844,4273.319824,32546900
9/12/21,4208.299805,4246.52002,4201.850098,4242.660156,26129200
10/12/21,4199.160156,4221.569824,4178.660156,4198.180176,25370900
13/12/21,4183.040039,4241.120117,4176.970215,4206.450195,24169200
14/12/21,4144.509766,4210.52002,4143.5,4198.899902,28737700
15/12/21,4159.680176,4176.140137,4147.160156,4147.160156,25819200
16/12/21,4201.870117,4250.899902,4198.25,4198.25,35425700
17/12/21,4161.350098,4195.939941,4130.359863,4195.939941,59792700
20/12/21,4107.129883,4140.330078,4046.689941,4140.330078,30146400
21/12/21,4174.990234,4174.990234,4120.47998,4120.47998,23844700
22/12/21,4217.060059,4217.060059,4167.890137,4180.890137,19256600
23/12/21,4265.859863,4270.290039,4221.899902,4221.899902,20498000
27/12/21,4287.97998,4293.890137,4240.490234,4249.899902,13904700
28/12/21,4311.930176,4319.689941,4287.109863,4290.540039,16909200
29/12/21,4284.830078,4312.450195,4271.370117,4311.129883,16659800
30/12/21,4306.069824,4309.540039,4285.290039,4286.629883,18578400
3/01/22,4331.819824,4348.660156,4303.939941,4303.939941,25841400
4/01/22,4367.620117,4390.589844,4342.25,4346.450195,32585300
5/01/22,4392.149902,4395.779785,4367.029785,4368.779785,29744700
6/01/22,4324.810059,4372.450195,4304.540039,4372.450195,32675500
7/01/22,4305.830078,4335.720215,4279.709961,4331.069824,31689000
10/01/22,4239.52002,4324.640137,4231.060059,4312.129883,31296700
11/01/22,4281.540039,4303.169922,4251.799805,4251.799805,26401700
12/01/22,4316.390137,4328.759766,4289,4306.25,39871000
13/01/22,4315.899902,4335.490234,4294.990234,4319.259766,31408300
14/01/22,4272.189941,4307.47998,4256.609863,4307.47998,34933600
17/01/22,4302.140137,4310.490234,4274.25,4281.310059,20507500
18/01/22,4257.819824,4293.580078,4234.290039,4293.580078,29766200
19/01/22,4268.279785,4302.169922,4234.620117,4249.399902,34560000
20/01/22,4299.609863,4300.640137,4248.009766,4271.25,31731200
21/01/22,4229.560059,4278.180176,4188.930176,4278.180176,43750100
24/01/22,4054.360107,4224.470215,4035.280029,4213.830078,45808100
